"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","ECLI identifier","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"NOTICE - COMMON POSITION ADOPTED BY THE COUNCIL IN ACCORDANCE WITH THE COOPERATION PROCEDURE LAID DOWN IN ARTICLE 149 ( 2 ) OF THE EEC TREATY: PROPOSAL FOR A COUNCIL DECISION ON A SPECIFIC PROGRAMME FOR THE COMPLETION OF A MACHINE TRANSLATION SYSTEM OF ADVANCED DESIGN ( EUROTRA )","","51989AG0414(05)","","","","","Common position","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E149","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","1989-04-14","1989-04-14","Council of the European Union","","1989-06-20","","","","","",
"Notice — Common positions adopted by the Council in accordance with the cooperation procedure laid down in Article 149 (2) of the EEC Treaty","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1989-04-14","1989-04-14","Not available","","","","","","","OJ C 93, 14/04/1989, p. 1–1
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"AMENDMENT TO THE PROPOSAL FOR A COUNCIL DECISION CONCERNING A SPECIFIC PROGRAMME FOR THE COMPLETION OF A MACHINE TRANSLATION SYSTEM OF ADVANCED DESIGN ( EUROTRA )","/* COM/88/20FINAL - SYN 137 */ /* COM/89/20FINAL/2 - SYN 137 OF 7/2/89 */","51989PC0020","","","","","Amended proposal for a decision","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E149","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS","1989-01-18","","European Commission","","1989-06-20","","","","","",
"Minutes of the sitting of Thursday, 15 December 1988","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1989-01-16","1989-01-16","Not available","","","","","","","OJ C 12, 16/01/1989, p. 125–354
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"Minutes of Wednesday, 14 December 1988","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1989-01-16","1989-01-16","Not available","","","","","","","OJ C 12, 16/01/1989, p. 51–124
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"Minutes of the sitting of Tuesday, 13 December 1988","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1989-01-16","1989-01-16","Not available","","","","","","","OJ C 12, 16/01/1989, p. 22–50
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"Minutes of the sitting of Monday, 12 December 1988","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1989-01-16","1989-01-16","Not available","","","","","","","OJ C 12, 16/01/1989, p. 1–21
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"PROPOSAL FOR A COUNCIL DECISION ESTABLISHING THE LINGUA PROGRAMME TO PROMOTE TRAINING IN FOREIGN LANGUAGES IN THE EUROPEAN COMMUNITY","/* COM/88/841FINAL OF 6/1/89 */","51988PC0841(01)","","","","","Proposal for a decision","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E128, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31963D0266","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","1989-01-02","1989-02-28","European Commission","","1989-07-28","","","","","OJ C 51, 28/02/1989, p. 7–13
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"89/40/EEC, Euratom, ECSC: Final Adoption of the general budget of the European Communities for the financial year 1989","","31989B0040","","","","","Budget","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E203, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31977Q1231, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A177, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11975R, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11951K078","","","","ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","1988-12-15","1989-01-30","European Parliament","1989-01-01","1989-12-31","","","","false","OJ L 26, 30/01/1989, p. 1–1375
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"LEGISLATIVE RESOLUTION (Cooperation procedure: first reading) embodying the opinion of the European Parliament on the proposal from the Commission to the Council for the completion of a machine translation system of advanced design (EUROTRA)","","51988AP0275","","","","","Opinion proposing amendment","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E149, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E130Q","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","1988-12-14","1989-01-16","Committee on Industry, Research and Energy, European Parliament","","","","","","","OJ C 12, 16/01/1989, p. 83
		 (ES, DA, DE, EN, FR, IT, NL, PT)",
"Minutes of the sitting of Thursday, 27 October 1988","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1988-12-05","1988-12-05","Not available","","","","","","","OJ C 309, 05/12/1988, p. 68–416
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"FIRST REPORT ON THE STATE OF SCIENCE AND TECHNOLOGY IN EUROPE","/* COM/88/647FINAL */","51988DC0647","","","","","Report","","","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS","1988-11-29","","European Commission","","","","","","","",
"Written Questions with answer","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1988-11-28","1988-11-28","Not available","","","","","","","OJ C 303, 28/11/1988, p. 1–60
		 (DA, DE, EL, EN, FR, IT, NL)",
